No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
1739,bright wall art,390,2,118,$0.46,100,32,https://eastendprints.co.uk/categories/inspiration/styles-and-trends/bright-and-fun.html
1740,etched prints,480,78,0,$0.19,31,20,https://eastendprints.co.uk/
1741,art printing services,390,88,0,$2.43,100,53,https://eastendprints.co.uk/
1742,art prints on sale,390,2,63,$0.97,100,73,https://eastendprints.co.uk/
1743,canvas print for bedroom,390,99,0,$0.42,100,33,https://eastendprints.co.uk/categories/bedroom-art-prints
1744,art prints bedroom,390,6,18,$0.54,100,29,https://eastendprints.co.uk/categories/bedroom-art-prints
1745,black british painters,390,56,0,$0.67,11,44,https://eastendprints.co.uk/categories/discover-black-artists.html
1746,black famous paintings,390,76,0,$0.67,4,47,https://eastendprints.co.uk/categories/discover-black-artists.html
1747,modernist print,390,4,37,$0.65,100,57,https://eastendprints.co.uk/categories/inspiration/styles-and-trends/mid-century-modern.html
1748,movie art,320,2,51,$0.90,100,80,https://eastendprints.co.uk/categories/film-movie-art-prints
1749,dr who art,320,13,4,$0.54,78,52,https://eastendprints.co.uk/products/dr-who.html
1750,custom wall art,320,87,0,$1.73,100,58,https://eastendprints.co.uk/
1751,dalmatian prints,320,6,21,$0.49,100,15,https://eastendprints.co.uk/products/dalmatian-with-rollerskates.html
1752,yellow artworks,320,2,97,$0.64,100,22,https://eastendprints.co.uk/categories/yellow-art-prints
1753,paintings and poems,320,66,0,$0.80,13,18,https://eastendprints.co.uk/categories/artists/artists-m-r/poet-and-painter.html
1754,sci fi film poster,320,87,0,$0.47,64,33,https://eastendprints.co.uk/categories/film-movie-art-prints
1755,film poster prints,320,4,21,$0.78,100,44,https://eastendprints.co.uk/categories/film-movie-art-prints
1756,living room wall art uk,320,49,0,$0.53,100,41,https://eastendprints.co.uk/
1757,the movie poster art gallery,320,61,0,$0.59,10,40,https://eastendprints.co.uk/categories/film-movie-art-prints
1758,movieart,320,7,10,$0.90,100,25,https://eastendprints.co.uk/categories/film-movie-art-prints
1759,landscape canvas prints,320,38,0,$2.07,100,34,https://eastendprints.co.uk/categories/landscapes-seascapes
1760,large black and white wall art,320,15,3,$0.51,100,36,https://eastendprints.co.uk/categories/black-and-white-art-prints
1761,pixel art black and white,320,47,0,$0,1,44,https://eastendprints.co.uk/categories/black-and-white-art-prints
1762,posters on women's rights,320,3,51,$0.12,40,31,https://eastendprints.co.uk/categories/feminist
1763,orange print,320,2,97,$0.90,100,34,https://eastendprints.co.uk/categories/orange-art-prints
1764,black print,320,11,8,$0.88,99,32,https://eastendprints.co.uk/categories/discover-black-artists.html
1765,abstract poster,320,33,0,$0.80,100,48,https://eastendprints.co.uk/categories/abstract-prints/
1766,documentary film posters,260,67,0,$0,4,24,https://eastendprints.co.uk/categories/film-movie-art-prints
1767,documentary posters,260,118,0,$0,4,23,https://eastendprints.co.uk/categories/film-movie-art-prints
1768,delta prints,390,9,,$1.89,32,33,https://eastendprints.co.uk/categories/artists/artists-a-f/deltanova.html
1769,painting and poetry,320,88,0,$0.17,18,55,https://eastendprints.co.uk/categories/artists/artists-m-r/poet-and-painter.html
1770,kitchen art work,320,2,97,$0.41,100,42,https://eastendprints.co.uk/categories/kitchen-art-prints
1771,buy original art,320,36,0,$1.70,100,76,https://eastendprints.co.uk/
1772,buy poster,320,37,0,$1.29,100,64,https://eastendprints.co.uk/
1773,small black picture frame,320,55,0,$0.37,100,39,https://eastendprints.co.uk/products/narrow-black-frame.html
1774,posters about women's rights,320,55,0,$0.05,45,46,https://eastendprints.co.uk/categories/feminist
1775,pastel yellow painting,320,52,0,$0.27,100,27,https://eastendprints.co.uk/categories/yellow-art-prints
1776,king prints,320,50,0,$3.04,18,29,https://eastendprints.co.uk/
1777,framed wall art uk,260,11,6,$0.80,100,47,https://eastendprints.co.uk/
1778,map of london print,320,16,1,$0.90,60,31,https://eastendprints.co.uk/products/london-map.html
1779,london painting,320,68,0,$1.54,100,51,https://eastendprints.co.uk/categories/london-art-prints.html
1780,london art painting,320,51,0,$3.43,100,52,https://eastendprints.co.uk/categories/london-art-prints.html
1781,art print uk,320,2,51,$1.66,100,81,https://eastendprints.co.uk/
